task,dataset,repeat,seed,method,final_utility,normalized_auc,utility_at_call_10,utility_at_call_20,utility_at_call_60,calls_to_95pct_oracle_gain,reached_95pct_oracle_gain,final_utility_matches_oracle,base_utility,oracle_utility,final_gap_to_oracle
classification,white,4,32004,Data-Bandit,0.7166666666666667,0.7127083333333335,0.7166666666666667,0.7166666666666667,0.7166666666666667,10,1,1,0.65,0.7166666666666667,0.0
classification,white,4,32004,Data-All,0.7166666666666667,0.6902083333333333,0.6916666666666667,0.6916666666666667,0.7166666666666667,54,1,1,0.65,0.7166666666666667,0.0
classification,white,4,32004,Data-Alt,0.6916666666666667,0.690902777777778,0.6916666666666667,0.6916666666666667,0.6916666666666667,61,0,0,0.65,0.7166666666666667,0.025000000000000022
classification,white,4,32004,AutoML,0.65,0.6496527777777776,0.65,0.65,0.65,61,0,0,0.65,0.7166666666666667,0.06666666666666665
classification,white,5,32005,Data-Bandit,0.7875,0.7863888888888889,0.7875,0.7875,0.7875,2,1,0,0.7291666666666666,0.7833333333333333,-0.004166666666666652
classification,white,5,32005,Data-All,0.7833333333333333,0.7772222222222221,0.7791666666666667,0.8083333333333333,0.7833333333333333,13,1,1,0.7291666666666666,0.7833333333333333,0.0
classification,white,5,32005,Data-Alt,0.7875,0.7909722222222222,0.8083333333333333,0.7791666666666667,0.7875,3,1,0,0.7291666666666666,0.7833333333333333,-0.004166666666666652
classification,white,5,32005,AutoML,0.7166666666666667,0.7164583333333335,0.7166666666666667,0.7166666666666667,0.7166666666666667,61,0,0,0.7291666666666666,0.7833333333333333,0.06666666666666665
classification,white,6,32006,Data-Bandit,0.7583333333333333,0.7565972222222221,0.775,0.7583333333333333,0.7583333333333333,10,1,1,0.6833333333333333,0.7583333333333333,0.0
classification,white,6,32006,Data-All,0.7583333333333333,0.7475694444444445,0.7291666666666666,0.75,0.7583333333333333,24,1,1,0.6833333333333333,0.7583333333333333,0.0
classification,white,6,32006,Data-Alt,0.7583333333333333,0.7486805555555556,0.7416666666666667,0.7416666666666667,0.7583333333333333,26,1,1,0.6833333333333333,0.7583333333333333,0.0
classification,white,6,32006,AutoML,0.6833333333333333,0.6827777777777777,0.6833333333333333,0.6833333333333333,0.6833333333333333,61,0,0,0.6833333333333333,0.7583333333333333,0.07499999999999996
classification,white,7,32007,Data-Bandit,0.7583333333333333,0.755625,0.7583333333333333,0.7583333333333333,0.7583333333333333,3,1,0,0.6416666666666667,0.7458333333333333,-0.012499999999999956
classification,white,7,32007,Data-All,0.7458333333333333,0.737222222222222,0.7166666666666667,0.7583333333333333,0.7458333333333333,11,1,1,0.6416666666666667,0.7458333333333333,0.0
classification,white,7,32007,Data-Alt,0.7458333333333333,0.745486111111111,0.7583333333333333,0.7458333333333333,0.7458333333333333,3,1,1,0.6416666666666667,0.7458333333333333,0.0
classification,white,7,32007,AutoML,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6416666666666667,0.6416666666666667,61,0,0,0.6416666666666667,0.7458333333333333,0.10416666666666663
classification,white,8,32008,Data-Bandit,0.7416666666666667,0.7397222222222223,0.7416666666666667,0.7416666666666667,0.7416666666666667,2,1,0,0.7125,0.7208333333333333,-0.02083333333333337
classification,white,8,32008,Data-All,0.7208333333333333,0.7127777777777775,0.6875,0.7208333333333333,0.7208333333333333,17,1,1,0.7125,0.7208333333333333,0.0
classification,white,8,32008,Data-Alt,0.6833333333333333,0.6834027777777777,0.6833333333333333,0.6833333333333333,0.6833333333333333,61,0,0,0.7125,0.7208333333333333,0.03749999999999998
classification,white,8,32008,AutoML,0.7125,0.7108333333333333,0.7125,0.7125,0.7125,61,0,0,0.7125,0.7208333333333333,0.008333333333333304
classification,white,9,32009,Data-Bandit,0.7416666666666667,0.7415972222222224,0.75,0.7416666666666667,0.7416666666666667,2,1,0,0.6625,0.7375,-0.004166666666666652
classification,white,9,32009,Data-All,0.7375,0.7345138888888886,0.75,0.75,0.7375,7,1,1,0.6625,0.7375,0.0
classification,white,9,32009,Data-Alt,0.75,0.7496527777777777,0.75,0.75,0.75,2,1,0,0.6625,0.7375,-0.012499999999999956
classification,white,9,32009,AutoML,0.6625,0.6619444444444444,0.6625,0.6625,0.6625,61,0,0,0.6625,0.7375,0.07500000000000007
classification,white,10,32010,Data-Bandit,0.7416666666666667,0.7434027777777779,0.7416666666666667,0.7416666666666667,0.7416666666666667,2,1,0,0.6708333333333333,0.7666666666666667,0.025000000000000022
