seed,prior,learning_rate,batch_size,rounds,initial_kl,final_kl,tail_mean_kl,tail_std_kl
20270716,highly_skewed,1/sqrt(t),100,1000,0.33512821091890216,0.024453508626388818,0.025962543491245497,0.0008663639136392196
20270716,highly_skewed,1/2,10,1000,0.33512821091890216,0.031212336121976283,0.11196374625876652,0.04599030443614129
20270716,highly_skewed,1/2,100,1000,0.33512821091890216,0.007254871092959765,0.00533757229198516,0.0035000728511910824
20270716,extremely_skewed,1/(t+1),10,1000,0.5928809603744556,0.0004630763860452914,0.0004865999193384799,1.7560318416230592e-05
20270716,extremely_skewed,1/(t+1),100,1000,0.5928809603744556,0.00107717074837261,0.0010825997510663192,6.066748899659596e-06
20270716,extremely_skewed,1/sqrt(t),10,1000,0.5928809603744556,0.004694882185522283,0.004682717772730876,0.0007367582331854748
20270716,extremely_skewed,1/sqrt(t),100,1000,0.5928809603744556,0.0006655088397619155,0.00015624600713632443,0.00016557857876363957
20270716,extremely_skewed,1/2,10,1000,0.5928809603744556,0.4024078009087443,0.40421679862403714,0.024704185508040908
20270716,extremely_skewed,1/2,100,1000,0.5928809603744556,0.0037863514181896395,0.008759308253474412,0.004156952386071254
20270717,random,1/(t+1),10,1000,0.13493305345284176,0.003918061220762435,0.004017856331542088,5.5266482607773456e-05
20270717,random,1/(t+1),100,1000,0.13493305345284176,0.0055333918911358165,0.005590271780489356,2.6017881869254618e-05
20270717,random,1/sqrt(t),10,1000,0.13493305345284176,0.004656394995164886,0.00517735265496843,0.0009742716396065484
20270717,random,1/sqrt(t),100,1000,0.13493305345284176,0.00015250176438988058,0.00023715564511946497,7.94788047857275e-05
20270717,random,1/2,10,1000,0.13493305345284176,0.04027416384576572,0.06081958693848529,0.03848399996055031
20270717,random,1/2,100,1000,0.13493305345284176,0.002845110261013339,0.005453559284960766,0.00406179032843544
20270717,uniform,1/(t+1),10,1000,0.0,0.0017894946617758797,0.0018060984710811174,3.080112039523674e-05
20270717,uniform,1/(t+1),100,1000,0.0,0.0004554206860644377,0.0004666572836784962,8.529523177562365e-06
20270717,uniform,1/sqrt(t),10,1000,0.0,0.003140311720920958,0.003197857349401785,0.0007266924786327029
20270717,uniform,1/sqrt(t),100,1000,0.0,7.441379671575994e-05,0.0001345770710494,8.756908494386566e-05
20270717,uniform,1/2,10,1000,0.0,0.06504338753680335,0.06606644060670802,0.04156144504789616
20270717,uniform,1/2,100,1000,0.0,0.003944083090675208,0.004692360357868511,0.003923760694001276
20270717,slightly_skewed,1/(t+1),10,1000,0.05565439081665732,0.018836883277876304,0.018967795706825396,9.133855466101223e-05
20270717,slightly_skewed,1/(t+1),100,1000,0.05565439081665732,0.0051601778371942325,0.005251296482098624,5.9446690001688666e-05
20270717,slightly_skewed,1/sqrt(t),10,1000,0.05565439081665732,0.007513148197702164,0.007772449838304571,0.0014285676169433388
